Site,Banding Date,Time,Disposition,Recap,Band Number,Species,Flag,Cohort,FL&ST,Tail,Culmen,Total Head,Tarsus,Age,Fat,Sex,Mass,Blood ,Feathers,Tag Number,Tag A.ID number,Nest ID,Notes
King Salmon,17-May-22,11:15,1,n,129231922,SBDO,UA,Or,162,.,62,94,45.0,1,.,F,129.0,y,y,2462,233815,KS_SBDO_2201,
King Salmon,18-May-22,17:30,1,n,129231923,SBDO,UC,Or,154,55,55.5,85.4,35.2,1,.,M,107.0,y,y,2463,233816,KS_SBDO_2201,
King Salmon,18-May-22,20:45,1,n,129231924,SBDO,UE,Or,152,54,53,82.7,36.1,1,.,M,102.5,y,y,2464,233817,KS_SBDO_2202,
King Salmon,19-May-22,13:50,1,n,129231925,SBDO,UH,Or,164,56,63.5,92.5,40.2,1,.,F,115.2,y,y,2465,233818,KS_SBDO_2202,
King Salmon,19-May-22,16:10,1,n,129231926,SBDO,UJ,Or,160,58,60.7,80.2,36.8,1,.,M,110.5,y,y,2466,233819,KS_SBDO_2203,
King Salmon,20-May-22,9:34,1,n,129231937,SBDO,UK,Or,154,53,54.5,81.6,38.5,1,.,F,106.5,y,y,2467,233820,KS_SBDO_2203,
King Salmon,31-May-22,12:43,1,n,129232000,SBDO,UM,Or,157,56,54.8,84.8,38.0,1,.,,114.0,y,y,2468,233821,KS_SBDO_2206,"Bird stumbled for 30 seconds before flying away, concern the tag was on incorrectly. Attempted to recapture the bird a couple of hours later and the nest was gone "
King Salmon,31-May-22,16:13,1,n,129232014,SBDO,UN,Or,157,56,52.1,79.9,37.8,1,.,M,108.0,y,y,2470,233823,KS_SBDO_2204,
King Salmon,31-May-22,17:30,1,n,129232015,SBDO,UP,Or,NA,NA,NA,NA,37.4,1,.,M,110.0,n,n,none,none,KS_SBDO_2207,Bird escaped from handler after bands were put on and mass taken. No tag put on nor most morph data
King Salmon,1-Jun-22,9:20,1,n,129231999,SBDO,UL,Or,161,59,61.4,91.1,38.3,1,.,F,115.0,n,n,2471,233824,KS_SBDO_2204,
King Salmon,1-Jun-22,10:16,1,n,129232016,SBDO,UT,Or,160,56,62.9,93.2,39.4,1,.,F,118.0,y,y,2469,233822,KS_SBDO_2207,
Beluga,6-Jun-22,11:02,1,y,123233508,SBDO,PA,.,160,56,57.8,86.1,37.9,1,.,F,110.0,y,y,1139,181624,Bel_SBDO_2202,
Beluga,6-Jun-22,14:32,1,y,129233515,SBDO,MT,.,159,52,57.5,83.9,36.0,1,.,M,120.0,y,y,1141,181626,Bel_SBDO_2208,2021 tag removed
Beluga,6-Jun-22,19:19,1,y,123233501,SBDO,NM,.,153,54,59.1,86.9,36.0,1,.,M,100.0,y,y,1140,181625,Bel_SBDO_2202,
Beluga,6-Jun-22,20:30,1,y,123233513,SBDO,PE,.,157,54,53.5,81,36.3,1,.,M,104.0,y,y,1138,181623,Bel_SBDO_2211,
Beluga,6-Jun-22,21:53,1,n,129232018,SBDO,UU,Or,155,56,55,83.3,37.3,1,.,M,114.0,y,y,2457,233810,Bel_SBDO_2214,
Beluga,7-Jun-22,10:51,1,y,123233502,SBDO,PU,.,156,50,67,95,40.4,1,.,F,114.0,y,y,.,.,Bel_SBDO_2209,"2021 tag removed, did not deploy new tag because old tag had slipped off left joint and was chafing bird's back"
Beluga,7-Jun-22,11:55,1,n,129232019,SBDO,UV,Or,160,54,62.3,90.6,36.9,1,.,F,119.0,y,y,2458,233811,Bel_SBDO_2214,
Beluga,7-Jun-22,13:00,1,y,123233511,SBDO,TX,.,154,56,61.4,90.4,37.4,1,.,F,110.0,y,y,2459,233812,Bel_SBDO_2211,
Beluga,7-Jun-22,19:20,1,n,129232034,SBDO,UX,Or,152,52,63.5,90,37.6,1,.,M,100.0,y,y,2460,233813,Bel_SBDO_2206,
Beluga,8-Jun-22,8:56,1,n,129232035,SBDO,UY,Or,156,54,56.9,86,37.4,1,.,F,114.0,y,y,2461,233814,Bel_SBDO_2206,
Beluga,8-Jun-22,9:50,1,n,129232036,SBDO,VA,Or,158,56,65.1,93.6,38.9,1,.,F,126.0,y,y,1136,181621,Bel_SBDO_2208,
Beluga,8-Jun-22,11:35,1,n,129232037,SBDO,XU,Or,159,59,66.7,94.3,40.1,1,.,,110.0,y,y,.,.,.,"bird caught with chicks, not on nest. Mate = NV (2021 flag)"
Beluga,8-Jun-22,13:50,1,n,129232038,SBDO,VC,Or,156,54,56.6,89.1,38.1,1,.,F,110.0,y,y,.,.,Bel_SBDO_2207,
Beluga,8-Jun-22,14:45,1,n,129232039,SBDO,VE,Or,158,55,59.9,86,40.3,1,.,,110.0,y,y,.,.,Bel_SBDO_2204,
Beluga,8-Jun-22,20:37,1,n,129232059,SBDO,VH,Or,150,51,63.7,93.2,40.1,1,.,unk,110.0,y,y,.,.,Bel_SBDO_2215,
